district_label_bn,division,district,source_upazila,canonical_upazila,resolution_type,reason
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Thanchi,Thanchi,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Akhaura,Akhaura,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Bancharampur,Bancharampur,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Nabinagar,Nabinagar,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Nasirnagar,Nasirnagar,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Sadar,Brahmanbaria Sadar,safe_candidate,unique_district_sadar
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Sarail,Sarail,exact,exact
ভোলা পোস্ট কোড,Barisal,Bhola,Burhanuddin,Borhan Uddin,safe_candidate,high_similarity:0.909;margin:0.338
ভোলা পোস্ট কোড,Barisal,Bhola,Charfessan,Charfesson,safe_candidate,high_similarity:0.900;margin:0.567
ভোলা পোস্ট কোড,Barisal,Bhola,Daulatkhan,Doulatkhan,safe_candidate,high_similarity:0.900;margin:0.344
ভোলা পোস্ট কোড,Barisal,Bhola,Hazirhat (Monpura),Monpura,parenthetical,parenthetical
ভোলা পোস্ট কোড,Barisal,Bhola,Lalmohan,Lalmohan,exact,exact
ভোলা পোস্ট কোড,Barisal,Bhola,Sadar,Bhola Sadar,safe_candidate,unique_district_sadar
মাগুড়া পোস্ট কোড,Khulna,Magura,Mohammadpur,Mohammadpur,exact,exact
মাগুড়া পোস্ট কোড,Khulna,Magura,Sadar,Magura Sadar,safe_candidate,unique_district_sadar
মাগুড়া পোস্ট কোড,Khulna,Magura,Sreepur,Sreepur,exact,exact
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Barahamgonj (Shibchar),Shibchar,parenthetical,parenthetical
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Kalkini,Kalkini,exact,exact
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Sadar,Madaripur Sadar,safe_candidate,unique_district_sadar
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Daulatpur,Doulatpur,safe_candidate,high_similarity:0.889;margin:0.363
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Ghior,Gior,safe_candidate,high_similarity:0.889;margin:0.389
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Lesragonj (Harirampur),Harirampur,parenthetical,parenthetical
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Sadar,Manikganj Sadar,safe_candidate,unique_district_sadar
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Saturia,Saturia,exact,exact
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Sadar,Munshiganj Sadar,safe_candidate,unique_district_sadar
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Serajdi Khan,Sirajdikhan,safe_candidate,high_similarity:0.909;margin:0.465
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Sreenagar,Sreenagar,exact,exact
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Tongibari,Tongibari,exact,exact
মেহেরপুর পোস্ট কোড,Khulna,Meherpur,Gangni,Gangni,exact,exact
মেহেরপুর পোস্ট কোড,Khulna,Meherpur,Sadar,Meherpur Sadar,safe_candidate,unique_district_sadar
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Barlekha,Barlekha,exact,exact
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Kulaura,Kulaura,exact,exact
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Raj Nagar,Rajnagar,normalized,normalized
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Sadar,Moulvibazar Sadar,safe_candidate,unique_district_sadar
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Sreemangal,Sreemangal,exact,exact
যশোর পোস্ট কোড,Khulna,Jashore,Jhekargacha,Jhikargacha,safe_candidate,high_similarity:0.909;margin:0.338
যশোর পোস্ট কোড,Khulna,Jashore,Keshabpur,Keshabpur,exact,exact
যশোর পোস্ট কোড,Khulna,Jashore,Monirampur,Manirampur,safe_candidate,high_similarity:0.900;margin:0.479
যশোর পোস্ট কোড,Khulna,Jashore,Sadar,Jashore Sadar,safe_candidate,unique_district_sadar
যশোর পোস্ট কোড,Khulna,Jashore,Sarsha,Sharsha,safe_candidate,high_similarity:0.923;margin:0.452
রংপুর পোস্ট কোড,Rangpur,Rangpur,Badargonj,Badargonj,exact,exact
রংপুর পোস্ট কোড,Rangpur,Rangpur,Ganga Chara,Gangachara,normalized,normalized
রংপুর পোস্ট কোড,Rangpur,Rangpur,Mithapukur,Mithapukur,exact,exact
রংপুর পোস্ট কোড,Rangpur,Rangpur,Pirgarcha,Pirgacha,safe_candidate,high_similarity:0.941;margin:0.353
রংপুর পোস্ট কোড,Rangpur,Rangpur,Pirgonj,Pirgonj,exact,exact
রংপুর পোস্ট কোড,Rangpur,Rangpur,Sadar,Rangpur Sadar,safe_candidate,unique_district_sadar
রংপুর পোস্ট কোড,Rangpur,Rangpur,Taragonj,Taragonj,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Barkal,Barkal,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Belaichari,Belaichari,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Kaptai,Kaptai,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Naniarchar,Naniarchar,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Rajasthali,Rajasthali,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Sadar,Rangamati Sadar,safe_candidate,unique_district_sadar
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari,Baliakandi,Baliakandi,exact,exact
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari,Pangsha,Pangsa,safe_candidate,high_similarity:0.923;margin:0.523
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari,Sadar,Rajbari Sadar,safe_candidate,unique_district_sadar
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Baga,Bagha,safe_candidate,high_similarity:0.889;margin:0.162
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Bhabanigonj (Bagmara),Bagmara,parenthetical,parenthetical
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Carghat,Charghat,safe_candidate,high_similarity:0.933;margin:0.266
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Durgapur,Durgapur,exact,exact
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Godagari,Godagari,exact,exact
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Puthia,Puthia,exact,exact
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Sadar,Rajshahi Sadar,safe_candidate,unique_district_sadar
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Tanore,Tanore,exact,exact
লক্ষ্মীপুর পোস্ট কোড,Chattogram,Lakshmipur,Sadar,Lakshmipur Sadar,safe_candidate,unique_district_sadar
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Aditmari,Aditmari,exact,exact
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Hatibanda,Hatibandha,safe_candidate,high_similarity:0.947;margin:0.467
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Patgram,Patgram,exact,exact
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Sadar,Lalmonirhat Sadar,safe_candidate,unique_district_sadar
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Gosairhat,Gosairhat,exact,exact
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Naria,Naria,exact,exact
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Sadar,Shariatpur Sadar,safe_candidate,unique_district_sadar
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Jenaigati,Jhenaigati,safe_candidate,high_similarity:0.947;margin:0.421
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Nalitabari,Nalitabari,exact,exact
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Sreebardi,Sreebordi,safe_candidate,high_similarity:0.889;margin:0.468
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,sadar,Sherpur Sadar,safe_candidate,unique_district_sadar
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Debhata,Debhata,exact,exact
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Nakipur (Shyamnagar),Shyamnagar,parenthetical,parenthetical
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Sadar,Satkhira Sadar,safe_candidate,unique_district_sadar
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Tala,Tala,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Baidya Jamtoil (Kamarkhand),Kamarkhand,parenthetical,parenthetical
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Belkuchi,Belkuchi,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Kazipur,Kazipur,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Sadar,Sirajganj Sadar,safe_candidate,unique_district_sadar
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Shahjadpur,Shahjadpur,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Tarash,Tarash,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Ullahpara,Ullapara,safe_candidate,high_similarity:0.941;margin:0.520
সিলেট পোস্ট কোড,Sylhet,Sylhet,Beani Bazar,Beanibazar,normalized,normalized
সিলেট পোস্ট কোড,Sylhet,Sylhet,Bishwa Nath,Bishwanath,normalized,normalized
সিলেট পোস্ট কোড,Sylhet,Sylhet,Fenchugonj,Fenchuganj,safe_candidate,high_similarity:0.900;margin:0.479
সিলেট পোস্ট কোড,Sylhet,Sylhet,Goainghat,Gowainghat,safe_candidate,high_similarity:0.947;margin:0.280
সিলেট পোস্ট কোড,Sylhet,Sylhet,Golapgonj,Golapganj,safe_candidate,high_similarity:0.889;margin:0.301
সিলেট পোস্ট কোড,Sylhet,Sylhet,Jaintapur,Jaintiapur,safe_candidate,high_similarity:0.947;margin:0.447
সিলেট পোস্ট কোড,Sylhet,Sylhet,Kanaighat,Kanaighat,exact,exact
সিলেট পোস্ট কোড,Sylhet,Sylhet,Sadar,Sylhet Sadar,safe_candidate,unique_district_sadar
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Biswambarpur,Bishwambarpur,safe_candidate,high_similarity:0.960;margin:0.460
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Chatak,Chhatak,safe_candidate,high_similarity:0.923;margin:0.423
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Sadar,Sunamganj Sadar,safe_candidate,unique_district_sadar
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Tahirpur,Tahirpur,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Bahubal,Bahubal,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Baniachong,Baniachong,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Chunaraghat,Chunarughat,safe_candidate,high_similarity:0.909;margin:0.474
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Madhabpur,Madhabpur,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Sadar,Habiganj Sadar,safe_candidate,unique_district_sadar
